email,name,phone,company_name
john.willis@nyulangone.org,John Willis,212-200-0696,NYU Langone Health
karla murphy@nyulangone.org,Karla Murphy,212-202-9648,NYU Langone Health
gary.norton@nyulangone.org,Gary Norton,212-204-9292,NYU Langone Health
dean.rodgers@nyulangone.org,Dean Rodgers,212-206-2847,NYU Langone Health
keith.elliott@nyulangone.org,Keith Elliott,212-205-0208,NYU Langone Health
timothy.bradley@nyulangone.org,Timothy Bradley ,212-213-6065,NYU Langone Health
terrell.harmon@nyulagone.org,Terrell Harmon,212-219-4062,NYU Langone Health
feiyang.guo@nyulangone.org,Feiyang Guo,212-228-9374,NYU Langone Health
jg3356@nyu.edu,Justin Garcia,212-238-6475,New York University
ap5546@nyu.edu,Albert Phillips,212-248-3231,New York University
as1123@nyu.edu,Anna Scanchez,212-251-2321,New York University
pc5642@nyu.edu,Patricia Coleman,212-256-2698,New York University
julia_hernandez@harvard.edu,Julia Hernandez,339-201-6599,Harvard Univeristy
sara_hill@harvard.edu,Sara Hill,617-218-9686,Harvard Univeristy
rprice@bu.edu,Ryan Price,617-229-7553,Boston University
arthur.parker@regeneron.com,Arthur Parker,617-349-9703,Regeneron
kenneth.green@regeneron.com,Kenneth Green,617-386-9317,Regeneron
karen.barnes@regeneron.com,Karen Barnes,617-491-1047,Regeneron
edward@synbio.com,Edward Young,617-498-9591,SynBio
nichlas@synbio.com,Nichlas Baker,617-551-5001,SynBio
m.frances@thermo.com,Frances Morgan,202-555-0155,Thermo Scientific
hs7768@columbia.cumc.edu,Henry Smith,212-248-6678,Columbia Univeristy Medical Center
lw3467@columbia.cumc.edu,Louise Ward,212-248-6062,Columbia Univeristy Medical Center
anne.stewart12@pepsi.com,Anne Stewart,478-922-8242,PepsiCo
matthew12@merck.com,Matthew Kent,606-673-3760,Merck
theresa24@merck.com,Teresa Collins,270-217-3456,Merck
tina_stewart@waters.com,Tina Stewart,270-277-7107,Waters Corporation
doris_ross@waters.com,Doris Ross,502-415-4049,Waters Corporation
barbara.wright@jackson.org,Barbara Wright,818-977-8075,The Jackson Laboratory 
