funding_type,amount,client_email
NIH R01,10052,john.willis@nyulangone.org
NIH R01,13648,karla murphy@nyulangone.org
NIH R01,51388,gary.norton@nyulangone.org
NIH R01,28284,dean.rodgers@nyulangone.org
NIH R01,8680,keith.elliott@nyulangone.org
NIH R01,94583,timothy.bradley@nyulangone.org
NIH R01,64382,terrell.harmon@nyulagone.org
NIH R01,15796,feiyang.guo@nyulangone.org
NIH R01,50597,jg3356@nyu.edu
NIH R01,7731,ap5546@nyu.edu
NIH R01,81033,as1123@nyu.edu
NIH R01,35870,pc5642@nyu.edu
NIH R01,7881,julia_hernandez@harvard.edu
NIH R01,62605,sara_hill@harvard.edu
NIH R01,98367,rprice@bu.edu
NIH R01,55977,hs7768@columbia.cumc.edu
NSF8019,43606,lw3467@columbia.cumc.edu
NSF8019,62312,julia_hernandez@harvard.edu
NSF8019,42848,sara_hill@harvard.edu
NSF8019,68569,karla murphy@nyulangone.org
NSF8019,82123,gary.norton@nyulangone.org
NSF5568,98506,gary.norton@nyulangone.org
NSF5568,45244,keith.elliott@nyulangone.org
NSF5568,28061,timothy.bradley@nyulangone.org
VISA,70160,terrell.harmon@nyulagone.org
VISA,76737,kenneth.green@regeneron.com
VISA,23893,karen.barnes@regeneron.com
VISA,14182,edward@synbio.com
MASTER CARD,82503,nichlas@synbio.com
MASTER CARD,83571,m.frances@thermo.com
MASTER CARD,74465,hs7768@columbia.cumc.edu
MASTER CARD,12875,lw3467@columbia.cumc.edu
MASTER CARD,74604,anne.stewart12@pepsi.com
MASTER CARD,97861,matthew12@merck.com
MASTER CARD,97257,theresa24@merck.com
MASTER CARD,40875,tina_stewart@waters.com
MASTER CARD,95381,doris_ross@waters.com
MASTER CARD,61442,barbara.wright@jackson.org
